RECORD RETRIEVAL DATE,DOT NUMBER,DBA NAME,LEGAL NAME,ALLOWED TO OPERATE,CARRIER OPERATION CODE,CARRIER OPERATION DESCRIPTION,CENSUS TYPE,CENSUS TYPE DESCRIPTION,CENSUS TYPE ID,IS PASSENGER CARRIER?,MCS150 OUTDATED?,OOS DATE,PHY STREET,PHY CITY,PHY STATE,PHY ZIP,PHY COUNTRY,REVIEW DATE,REVIEW TYPE,STATUS CODE,TOTAL DRIVERS,TOTAL POWER UNITS
2024-09-07,2975714,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,2979175,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,2979593,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,2981198,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,2984008,MOBILE MONEY,MOBILE FINANCIAL SERVICES INC,Y,C,Intrastate Non-Hazmat,C,CARRIER,1,N,N,,7633 INDUSTRY AVE  ,PICO RIVERA,CA,90660-4301,US,,,A,68,68
2024-09-07,2984784,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,2994381,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,3004472,WALKON TILE,BELLA TILE INC,Y,C,Intrastate Non-Hazmat,C,CARRIER,1,N,N,,12353 WILSHIRE BLVD  ,LOS ANGELES,CA,90025-1003,US,,,A,1,61
2024-09-07,3007021,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,3008396,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,3010671,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,3017666,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,3023091,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,3023773,ATHENS ENVIRONMENTAL SERVICES,ARACO ENTERPRISES LLC,Y,C,Intrastate Non-Hazmat,C,CARRIER,1,N,N,,9189 DE GARMO AVE,SUN VALLEY,CA,91352-2609,US,,,A,61,64
2024-09-07,3032692,MTC,MANERI TRAFFIC CONTROL INC,Y,C,Intrastate Non-Hazmat,C,CARRIER,1,N,N,,47423 RAINBOW CANYON RD,TEMECULA,CA,92592-5952,US,,,A,55,55
2024-09-07,303275,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,3033486,RELIABLE CRANE SERVICE,RELIABLE CONSTRUCTION SERVICES LLC,Y,A,Interstate,C,CARRIER,1,N,N,,260 N SMITH AVE,CORONA,CA,92878,US,2020-05-04,N,A,80,30
2024-09-07,3035524,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,3036390,CASTRO LIMOUSINE TRANSPORTATION SERVICES,SELENE LULE,Y,C,Intrastate Non-Hazmat,C,CARRIER,1,Y,N,,8475 ARTESIA BLVD STE L  ,BUENA PARK,CA,90621-8424,US,,,A,0,43
2024-09-07,3038921,SCOC INC,SCOC SERVICES INC,Y,A,Interstate,C,CARRIER,1,N,N,,21821 ETHANAC ROAD,PERRIS,CA,92570,US,2023-08-29,N,A,20,36
2024-09-07,3041556,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,3042022,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,3046341,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,3047229,,,N,,,,,,,,,,,,,,,,,,
2024-09-07,3048692,TV LOGISTICS,VILLAGRANA LOGISTICS INC,Y,A,Interstate,C,CARRIER,1,N,N,,135 S STATE COLLEGE BLVD STE 200,BREA,CA,92821,US,,,A,100,53
2024-09-07,3054150,PREFERRED CARRIER OF CALIFORNIA,ADVANCED MULTIMODAL DISTRIBUTION INC,Y,A,Interstate,C,CARRIER,1,N,N,,14822 CENTRAL AVE,CHINO,CA,91710,US,2023-09-07,N,A,35,58
2024-09-07,3060793,,,N,,,,,,,,,,,,,,,,,,
